"Date","BA_current","BA_prev"
2019-02-27,435.440002,426.769989
2019-02-28,439.959991,435.440002
2019-03-01,440.619995,439.959991
2019-03-04,432.690002,440.619995
2019-03-05,430.119995,432.690002
2019-03-06,424.459991,430.119995
2019-03-07,422.559998,424.459991
2019-03-08,422.540009,422.559998
2019-03-11,400.01001,422.540009
2019-03-12,375.410004,400.01001
2019-03-13,377.140015,375.410004
2019-03-14,373.299988,377.140015
2019-03-15,378.98999,373.299988
2019-03-18,372.279999,378.98999
2019-03-19,373.429993,372.279999
2019-03-20,376.160004,373.429993
2019-03-21,372.700012,376.160004
2019-03-22,362.170013,372.700012
2019-03-25,370.459991,362.170013
2019-03-26,370.380005,370.459991
2019-03-27,374.209991,370.380005
2019-03-28,374.440002,374.209991
2019-03-29,381.420013,374.440002
2019-04-01,391.540009,381.420013
2019-04-02,390.75,391.540009
2019-04-03,384.73999,390.75
2019-04-04,395.859985,384.73999
2019-04-05,391.929993,395.859985
2019-04-08,374.519989,391.929993
2019-04-09,369.040009,374.519989
2019-04-10,364.940002,369.040009
2019-04-11,370.160004,364.940002
2019-04-12,379.640015,370.160004
2019-04-15,375.459991,379.640015
2019-04-16,381.720001,375.459991
2019-04-17,377.519989,381.720001
2019-04-18,380.070007,377.519989
2019-04-22,375.170013,380.070007
2019-04-23,374.019989,375.170013
2019-04-24,375.459991,374.019989
2019-04-25,382.799988,375.459991
2019-04-26,380.790009,382.799988
2019-04-29,379.049988,380.790009
2019-04-30,377.690002,379.049988
2019-05-01,376.799988,377.690002
2019-05-02,375.799988,376.799988
2019-05-03,376.459991,375.799988
2019-05-06,371.600006,376.459991
2019-05-07,357.230011,371.600006
2019-05-08,359.75,357.230011
2019-05-09,354.130005,359.75
2019-05-10,354.670013,354.130005
2019-05-13,337.369995,354.670013
2019-05-14,343.040009,337.369995
2019-05-15,345.640015,343.040009
2019-05-16,353.809998,345.640015
2019-05-17,355.019989,353.809998
2019-05-20,352.790009,355.019989
2019-05-21,358.75,352.790009
2019-05-22,352.779999,358.75
2019-05-23,350.549988,352.779999
2019-05-24,354.899994,350.549988
2019-05-28,354.880005,354.899994
2019-05-29,348.799988,354.880005
2019-05-30,349.869995,348.799988
2019-05-31,341.609985,349.869995
2019-06-03,338.890015,341.609985
2019-06-04,344.619995,338.890015
2019-06-05,348.75,344.619995
2019-06-06,350.640015,348.75
2019-06-07,353.700012,350.640015
2019-06-10,353.799988,353.700012
2019-06-11,349.329987,353.799988
2019-06-12,347.029999,349.329987
2019-06-13,348.859985,347.029999
2019-06-14,347.160004,348.859985
2019-06-17,354.899994,347.160004
2019-06-18,373.959991,354.899994
2019-06-19,368.559998,373.959991
2019-06-20,374.880005,368.559998
2019-06-21,371.839996,374.880005
2019-06-24,373.98999,371.839996
2019-06-25,369.320007,373.98999
2019-06-26,374.940002,369.320007
2019-06-27,364.019989,374.940002
2019-06-28,364.01001,364.019989
2019-07-01,356.459991,364.01001
2019-07-02,354.160004,356.459991
2019-07-03,354.470001,354.160004
2019-07-05,355.859985,354.470001
2019-07-08,351.119995,355.859985
2019-07-09,353.089996,351.119995
2019-07-10,352.299988,353.089996
2019-07-11,359,352.299988
2019-07-12,365.329987,359
2019-07-15,361.609985,365.329987
2019-07-16,362.75,361.609985
2019-07-17,369.519989,362.75
2019-07-18,361.109985,369.519989
2019-07-19,377.359985,361.109985
2019-07-22,373.420013,377.359985
2019-07-23,373.070007,373.420013
2019-07-24,361.429993,373.070007
2019-07-25,348.089996,361.429993
2019-07-26,345,348.089996
2019-07-29,340.209991,345
2019-07-30,347.459991,340.209991
2019-07-31,341.179993,347.459991
2019-08-01,334.290009,341.179993
2019-08-02,339.559998,334.290009
2019-08-05,331.059998,339.559998
2019-08-06,332.450012,331.059998
2019-08-07,331.380005,332.450012
2019-08-08,336.350006,331.380005
2019-08-09,337.549988,336.350006
2019-08-12,332.940002,337.549988
2019-08-13,332.859985,332.940002
2019-08-14,320.420013,332.859985
2019-08-15,328,320.420013
2019-08-16,330.450012,328
2019-08-19,333.779999,330.450012
2019-08-20,331.75,333.779999
2019-08-21,339.98999,331.75
2019-08-22,354.410004,339.98999
2019-08-23,356.01001,354.410004
2019-08-26,359.040009,356.01001
2019-08-27,354.730011,359.040009
