"","state","mindrinkage"
"1","al",19.6700000762939
"2","az",21
"3","ar",21
"4","ca",21
"5","co",21
"6","ct",20.3299999237061
"7","de",21
"8","fl",20
"9","ga",19.25
"10","id",19
"11","il",21
"12","in",21
"13","ia",19
"14","ks",21
"15","ky",21
"16","la",18
"17","me",20.5
"18","md",21
"19","ma",20.5
"20","mi",21
"21","mn",19
"22","ms",21
"23","mo",21
"24","mt",19
"25","ne",21
"26","nv",21
"27","nh",20
"28","nj",21
"29","nm",21
"30","ny",19.1599998474121
"31","nc",21
"32","nd",21
"33","oh",21
"34","ok",21
"35","or",21
"36","pa",21
"37","ri",21
"38","sc",21
"39","sd",21
"40","tn",21
"41","tx",19
"42","ut",21
"43","vt",18
"44","va",21
"45","wa",21
"46","wv",19
"47","wi",19
"48","wy",19
