state,year,no_fatal_accidents
al,1982,839
al,1983,930
al,1984,932
al,1985,882
al,1986,1081
al,1987,1110
al,1988,1023
az,1982,724
az,1983,675
az,1984,869
az,1985,893
az,1986,1007
az,1987,937
az,1988,944
ar,1982,550
ar,1983,557
ar,1984,525
ar,1985,534
ar,1986,603
ar,1987,639
ar,1988,610
ca,1982,4615
ca,1983,4573
ca,1984,5020
ca,1985,4960
ca,1986,5253
ca,1987,5504
ca,1988,5390
co,1982,668
co,1983,646
co,1984,608
co,1985,579
co,1986,603
co,1987,591
co,1988,497
ct,1982,515
ct,1983,438
ct,1984,469
ct,1985,448
ct,1986,450
ct,1987,449
ct,1988,484
de,1982,122
de,1983,110
de,1984,130
de,1985,104
de,1986,136
de,1987,146
de,1988,160
fl,1982,2653
fl,1983,2686
fl,1984,2814
fl,1985,2832
fl,1986,2830
fl,1987,2839
fl,1988,3078
ga,1982,1229
ga,1983,1296
ga,1984,1410
ga,1985,1361
ga,1986,1530
ga,1987,1599
ga,1988,1653
id,1982,256
id,1983,263
id,1984,242
id,1985,255
id,1986,258
id,1987,262
id,1988,257
il,1982,1651
il,1983,1526
il,1984,1547
il,1985,1534
il,1986,1596
il,1987,1660
il,1988,1837
in,1982,961
in,1983,1016
in,1984,925
in,1985,974
in,1986,1038
in,1987,1055
in,1988,1101
ia,1982,480
ia,1983,514
ia,1984,420
ia,1985,474
ia,1986,441
ia,1987,491
ia,1988,557
ks,1982,498
ks,1983,411
ks,1984,510
ks,1985,486
ks,1986,500
ks,1987,491
ks,1988,483
ky,1982,822
ky,1983,778
ky,1984,754
ky,1985,712
ky,1986,805
ky,1987,844
ky,1988,838
la,1982,1091
la,1983,933
la,1984,961
la,1985,931
la,1986,932
la,1987,827
la,1988,925
me,1982,166
me,1983,224
me,1984,232
me,1985,206
me,1986,214
me,1987,232
me,1988,255
md,1982,640
md,1983,656
md,1984,643
md,1985,729
md,1986,784
md,1987,814
md,1988,782
ma,1982,659
ma,1983,651
ma,1984,666
ma,1985,742
ma,1986,752
ma,1987,689
ma,1988,725
mi,1982,1392
mi,1983,1314
mi,1984,1531
mi,1985,1545
mi,1986,1605
mi,1987,1597
mi,1988,1704
mn,1982,571
mn,1983,555
mn,1984,582
mn,1985,608
mn,1986,571
mn,1987,530
mn,1988,612
ms,1982,730
ms,1983,715
ms,1984,679
ms,1985,662
ms,1986,771
ms,1987,756
ms,1988,722
mo,1982,890
mo,1983,911
mo,1984,967
mo,1985,931
mo,1986,1129
mo,1987,1044
mo,1988,1103
mt,1982,254
mt,1983,286
mt,1984,238
mt,1985,223
mt,1986,222
mt,1987,234
mt,1988,198
ne,1982,261
ne,1983,255
ne,1984,285
ne,1985,237
ne,1986,290
ne,1987,297
ne,1988,261
nv,1982,280
nv,1983,253
nv,1984,249
nv,1985,259
nv,1986,233
nv,1987,262
nv,1988,286
nh,1982,173
nh,1983,191
nh,1984,192
nh,1985,191
nh,1986,172
nh,1987,179
nh,1988,166
nj,1982,1061
nj,1983,932
nj,1984,922
nj,1985,964
nj,1986,1039
nj,1987,1023
nj,1988,1051
nm,1982,577
nm,1983,531
nm,1984,497
nm,1985,535
nm,1986,499
nm,1987,568
nm,1988,487
ny,1982,2162
ny,1983,2077
ny,1984,2060
ny,1985,2006
ny,1986,2122
ny,1987,2333
ny,1988,2255
nc,1982,1303
nc,1983,1234
nc,1984,1450
nc,1985,1482
nc,1986,1647
nc,1987,1584
nc,1988,1573
nd,1982,148
nd,1983,116
nd,1984,100
nd,1985,90
nd,1986,100
nd,1987,101
nd,1988,104
oh,1982,1607
oh,1983,1582
oh,1984,1646
oh,1985,1646
oh,1986,1673
oh,1987,1772
oh,1988,1763
ok,1982,1054
ok,1983,848
ok,1984,797
ok,1985,744
ok,1986,699
ok,1987,597
ok,1988,634
or,1982,518
or,1983,550
or,1984,572
or,1985,559
or,1986,619
or,1987,620
or,1988,677
pa,1982,1819
pa,1983,1721
pa,1984,1727
pa,1985,1771
pa,1986,1894
pa,1987,1987
pa,1988,1931
ri,1982,105
ri,1983,100
ri,1984,79
ri,1985,109
ri,1986,124
ri,1987,113
ri,1988,125
sc,1982,730
sc,1983,844
sc,1984,916
sc,1985,951
sc,1986,1059
sc,1987,1086
sc,1988,1034
sd,1982,148
sd,1983,175
sd,1984,143
sd,1985,130
sd,1986,134
sd,1987,134
sd,1988,147
tn,1982,1055
tn,1983,1037
tn,1984,1095
tn,1985,1101
tn,1986,1230
tn,1987,1248
tn,1988,1266
tx,1982,4213
tx,1983,3823
tx,1984,3912
tx,1985,3678
tx,1986,3567
tx,1987,3261
tx,1988,3393
ut,1982,295
ut,1983,283
ut,1984,315
ut,1985,303
ut,1986,313
ut,1987,296
ut,1988,297
vt,1982,107
vt,1983,94
vt,1984,114
vt,1985,115
vt,1986,109
vt,1987,119
vt,1988,129
va,1982,881
va,1983,901
va,1984,1013
va,1985,976
va,1986,1126
va,1987,1021
va,1988,1071
wa,1982,748
wa,1983,698
wa,1984,746
wa,1985,744
wa,1986,703
wa,1987,780
wa,1988,778
wv,1982,450
wv,1983,425
wv,1984,438
wv,1985,420
wv,1986,440
wv,1987,471
wv,1988,460
wi,1982,770
wi,1983,725
wi,1984,822
wi,1985,744
wi,1986,747
wi,1987,797
wi,1988,807
wy,1982,201
wy,1983,173
wy,1984,157
wy,1985,152
wy,1986,168
wy,1987,129
wy,1988,155
