zip,sales_price,beds,baths,sqft,avg_school_rating,avg_school_distance,walk_score,LotSizeSquareFeet,ownership_years,house_age,Time_on_market
90027,1410000,3,2,2041,6.333333333,0.966666667,58,7277,19,92,46
90046,12500,4,4,3585,7,2.433333333,9,10910,19,21,106
90605,1258000,5,4,4178,8,0.633333333,60,20837,19,66,176
92604,920000,4,2.5,2580,9.666666667,0.433333333,33,5400,19,40,78
92870,632500,4,3,1898,9,0.766666667,59,7414,19,53,38
93428,595000,4,2,1881,6.333333333,1.233333333,3,11850,19,29,280
93433,525000,3,2.5,1574,7,1.833333333,36,3500,19,19,107
93444,460000,3,2,1463,5.5,2.833333333,0,5714,19,21,232
95380,415000,4,2,2347,6,0.8,14,9894,19,28,154
90272,2810000,5,3,2825,9,1.3,30,7714,20,55,31
91010,710000,4,3,1730,6.333333333,1.866666667,6,7501,20,50,47
91335,552500,3,2,1644,6,0.733333333,51,5939,20,46,42
91604,655000,2,1,960,8.333333333,1.166666667,75,5999,20,62,48
91709,580000,3,3,1671,9,0.733333333,31,8712,20,29,146
92064,572711,5,2,1720,9,1.566666667,39,6677,20,37,80
92081,490000,3,3,1482,7.333333333,1.2,21,6344,20,30,36
92130,1120000,5,3,2844,10,0.933333333,27,10935,20,20,95
92308,205000,3,2,1708,5,1.433333333,32,19500,20,27,42
92504,268000,3,1,922,5,0.866666667,45,7841,20,63,52
92629,1430000,4,5,3370,7,1.266666667,38,10416,20,26,354
92691,633000,3,2,1652,8.666666667,0.566666667,35,4500,20,38,75
93003,566500,4,2,1906,5.666666667,0.666666667,19,7440,20,56,90
93274,199000,3,2,1400,6,0.833333333,64,NA,20,33,83
93304,140000,3,1.75,1353,3.333333333,1.166666667,51,6098,20,75,66
93458,316000,3,2,1109,3.333333333,1.5,37,5662,20,20,81
93728,136000,2,1,976,2,1.266666667,72,6750,20,93,117
93908,535000,3,3,1666,7.333333333,2.2,1,NA,20,26,35
94533,324000,3,2.5,1423,4.333333333,0.566666667,31,3484,20,31,64
94551,790000,4,3,2172,8.333333333,0.9,30,7526,20,20,86
94558,551000,4,2,1634,5.666666667,1.133333333,32,6098,20,35,52
94587,830000,4,3,2167,7.333333333,1.333333333,70,7777,20,26,44
95630,525000,4,3,2643,8,1.433333333,31,11024,20,32,87
95687,390000,3,2.5,1657,6.666666667,1.1,26,6131,20,28,42
95747,290000,3,2,1229,8.666666667,1.1,65,NA,20,31,49
95747,360000,2,2,1334,9.333333333,1.266666667,4,5144,20,20,32
95823,240000,3,2,1143,3.666666667,1.2,29,6200,20,32,132
90077,3160000,4,2.5,3592,7,2.466666667,6,12520,20,51,69
90210,3550000,3,3.5,2801,5.666666667,3.133333333,5,14028,20,59,72
90222,335000,3,1,1038,1.333333333,0.8,65,5005,20,65,80
90241,441000,3,1,1001,6.666666667,0.533333333,27,4915,20,64,71
90712,5.00E+05,3,1,1214,6,1.166666667,41,5000,20,61,31
90740,835000,4,3,2286,9.666666667,2.033333333,32,6030,20,50,34
91342,492500,4,2,1629,4.333333333,0.7,NA,7485,20,20,48
91765,706000,4,3,2364,7.333333333,1.033333333,9,9375,20,32,32
91791,755000,4,3,2465,7.333333333,0.566666667,30,13315,20,53,117
91902,530000,3,2,1505,7.666666667,0.533333333,18,13801,20,27,36
92037,1755000,4,2.5,2584,9.666666667,1.8,22,23500,20,44,107
92058,575000,3,3,2308,6.333333333,1.466666667,37,8474,20,20,110
92083,4.00E+05,2,2,1123,6.333333333,1.666666667,35,8600,20,36,41
92114,420000,4,2,1475,5.333333333,0.5,23,5212,20,30,63
92211,394000,3,2,2002,8.666666667,1.266666667,35,10454,20,20,189
92270,370000,3,2,2121,8.666666667,1.9,19,7840,20,20,105
92404,230000,3,1.5,1079,2,0.933333333,24,6695,20,62,147
92557,235000,2,2,992,4.666666667,0.7,12,7840,20,30,43
92649,2100000,4,4,3381,8.666666667,1.833333333,6,6104,20,40,153
92677,560000,2,3,1350,9,1.733333333,15,2772,20,21,90
92683,575000,3,2,1407,7.333333333,0.466666667,NA,7200,20,58,43
92841,510000,3,2,1141,7.666666667,0.933333333,51,8360,20,62,87
92869,913000,4,3,2605,7.333333333,1.033333333,10,6000,20,21,73
92881,390000,3,2,1318,8,0.766666667,55,7841,20,19,104
93111,925000,4,2,1679,8.666666667,2.2,11,11325,20,54,49
93309,195000,3,2.5,1693,3.333333333,0.666666667,42,9147,20,54,96
94510,429000,3,1,900,7,0.933333333,37,6534,20,73,95
95120,1520000,5,4,2970,9,0.833333333,53,8064,20,47,50
95403,450000,3,3,1714,4,0.866666667,34,4800,20,27,121
95677,340000,3,2,1715,8.666666667,1.866666667,29,NA,20,31,17
95713,4.00E+05,3,2,1440,7.666666667,1.5,0,87120,20,20,62
90805,242000,2,1,974,3.333333333,0.966666667,NA,4230,19,91,191
91761,395000,4,2,1800,6.333333333,0.9,43,8260,19,37,219
95660,143000,3,1,1108,3.666666667,0.9,69,5227,19,64,168
90504,625000,3,2,1215,8,0.233333333,39,5002,20,60,111
90703,825000,5,4,2485,8.666666667,0.366666667,NA,4916,20,45,67
90712,515000,3,1,1161,6,0.7,27,5201,20,64,102
91302,939000,4,3,2408,9,2.933333333,29,10546,20,51,74
91722,320000,2,1,952,6.666666667,0.366666667,53,6459,20,56,59
91737,485000,3,2,1715,8.333333333,0.6,36,NA,20,23,63
91789,748000,3,2,2076,9.666666667,1.233333333,7,22417,20,51,17
91915,605000,4,3,2906,8.333333333,1.133333333,14,7646,20,20,48
92024,840000,4,3,2350,9.666666667,1.133333333,69,7300,20,40,72
92057,5.00E+05,4,3,1931,5.666666667,1.333333333,23,10035,20,20,27
92128,577000,2,2,1500,9.666666667,1.066666667,28,3818,20,30,94
92211,6.00E+05,3,2.25,2712,7,2,6,3049,20,20,193
92220,150000,1,1,915,6,2.833333333,6,3049,20,21,28
92376,295000,4,2,1444,3.666666667,1.166666667,NA,7405,20,38,148
92404,287000,3,2,1670,2,1.2,2,8835,20,57,11
92506,325000,3,1.75,1629,5.666666667,0.733333333,63,8276,20,66,150
92677,805000,3,3,1733,9,1.466666667,29,3500,20,30,65
93103,2.00E+06,4,3,3060,7.333333333,0.866666667,58,11761,20,106,162
93436,220000,2,1,776,4.333333333,0.533333333,84,5227,20,78,60
94062,10250000,4,4.5,5814,8.333333333,1.9,5,NA,20,27,97
94533,330000,3,2,1352,4.333333333,1.066666667,63,6098,20,43,62
95476,775000,4,2.5,2048,4,1.233333333,62,10000,20,31,22
95682,485000,4,4,3133,8.333333333,2.633333333,16,NA,20,31,134
95695,372000,4,2.5,2035,4.666666667,0.833333333,35,6408,20,28,58
92315,215000,2,2,1008,4.666666667,1.833333333,54,2300,19,27,108
92649,649000,4,2,1750,8.666666667,0.5,58,6000,19,53,72
92802,530000,4,3,2400,4.666666667,0.766666667,51,7207,19,56,23
93109,1560000,4,4,3500,7.333333333,1.366666667,60,8276,19,36,394
93643,335000,4,2,2829,4,3,0,383328,19,40,363
93950,1390000,4,2.5,2461,9.333333333,1,37,NA,19,29,266
91344,543000,3,2,1201,5.333333333,0.566666667,63,9465,20,63,58
91739,360000,2,2,930,8,0.7,50,4500,20,30,52
91765,546000,3,2,1365,7.333333333,1.166666667,12,7491,20,47,52
92081,490000,3,3,1386,7.333333333,0.533333333,57,6413,20,27,70
92307,445000,5,4,4010,6.333333333,2.166666667,0,58806,20,27,111
92346,361000,3,3,1796,7.666666667,1.366666667,16,7560,20,26,51
92551,240000,3,2,1200,3.666666667,1.066666667,14,7405,20,30,111
92683,6.00E+05,3,2,1418,9,0.466666667,NA,6000,20,50,62
93257,190000,3,2,1567,5.333333333,0.566666667,19,NA,20,38,49
93274,235000,4,1.75,2354,5,1.233333333,33,NA,20,24,199
93307,144000,3,2,1234,1.666666667,1.4,NA,7405,20,39,85
93442,1200000,4,2.5,1830,7.666666667,2.3,29,5800,20,56,63
93711,295000,3,2,2058,5,0.433333333,33,13974,20,54,305
94536,1082000,4,2.5,2340,10,0.466666667,57,6050,20,43,141
94541,542000,3,2,1526,5,1.233333333,61,5400,20,65,47
94558,420000,2,1,840,6,0.833333333,69,6316,20,73,42
94568,906000,4,2,1629,9.666666667,1.4,24,13037,20,30,75
94901,1650000,4,4,3354,8,1.133333333,14,98881,20,27,49
94952,890000,3,2,2021,8.5,3.833333333,1,69696,20,42,45
95020,1825000,5,5,5912,7.333333333,7.933333333,0,614632,20,41,99
95382,385000,4,2,1922,6,0.933333333,16,8752,20,20,107
95624,345000,4,2.5,2121,7,0.666666667,15,6302,20,33,54
95630,402000,3,2,1230,5.333333333,1.333333333,23,10485,20,32,32
95630,450000,3,2,1815,5.333333333,1.466666667,15,10000,20,33,47
92126,572150,5,3,2255,8.666666667,0.733333333,42,5000,19,44,54
92869,890000,4,2,1735,6.333333333,0.933333333,28,7800,19,55,51
94559,810000,3,2,1855,4.333333333,1.266666667,30,5975,19,21,150
90605,440000,3,1,1118,5.666666667,1.5,58,6000,20,63,68
90803,790000,2,1.5,890,8.666666667,0.8,87,3179,20,78,198
91722,515000,3,2.5,1843,6.666666667,1.433333333,53,3377,20,21,63
92081,530000,4,3,1863,7.333333333,0.9,10,7081,20,27,79
92139,315000,3,3,1428,5.666666667,1.2,29,1278,20,32,28
92508,450000,4,3,2625,8.333333333,1.133333333,14,8276,20,20,121
92583,254000,5,3,2387,4,0.6,39,7405,20,25,58
92620,1308000,5,3.5,3126,10,0.6,18,4875,20,20,86
92673,1120000,5,4,3418,8,0.766666667,14,5270,20,21,52
92673,7.00E+05,3,2,1364,9,1.066666667,7,16250,20,31,57
92691,683000,4,3,1977,9.333333333,2.033333333,53,5642,20,43,206
92707,430000,3,1,930,3,0.833333333,70,6050,20,67,54
92804,483000,3,1.5,1402,5,0.533333333,NA,8015,20,58,61
93311,312500,4,2.5,2303,7,1.033333333,32,10890,20,29,80
93422,430500,2,2,1210,7.333333333,1,32,34000,20,52,51
94536,1133000,4,3,2146,10,0.4,61,9729,20,43,35
94544,540000,3,2,1574,3,0.4,70,6400,20,60,35
94551,580000,4,2,1258,8.333333333,1.4,49,9831,20,51,79
95035,635000,3,NA,1067,9,0.3,65,4050,20,62,50
95355,250000,3,2,1186,5.666666667,1.366666667,55,NA,20,46,115
95380,415000,3,3,2353,6,0.566666667,54,10500,20,63,149
95624,408000,4,2.5,2020,7.666666667,0.933333333,21,8256,20,26,67
95661,401000,3,2,1908,8.333333333,1.1,64,NA,20,51,40
95687,580000,4,3,2563,7.333333333,1.633333333,17,10917,20,25,56
95758,340000,3,2.5,2078,6.666666667,0.8,57,6825,20,26,258
91304,465000,3,2,1516,3.333333333,0.633333333,64,7528,19,37,111
91763,360000,4,1.75,1348,5,0.433333333,47,7405,19,63,76
92139,423000,4,2,1382,5.333333333,0.8,14,8200,19,47,78
92881,415000,3,2,1543,8,0.6,10,7405,19,19,98
94010,1410000,2,1,1010,10,0.9,78,5750,19,94,146
95409,442000,2,2,1591,9.333333333,3.7,29,NA,19,44,89
90815,575000,2,2,1417,7.666666667,0.9,69,7327,20,67,36
91307,811000,5,3,2610,8,1.4,23,11061,20,50,52
91354,549000,4,3,1698,9,0.7,42,4766,20,20,114
91362,681000,4,2,1952,7.666666667,1.366666667,13,11952,20,55,115
91367,1330000,6,4,4082,7.666666667,0.533333333,20,20050,20,61,144
91722,429000,3,1,1273,6,1.166666667,62,7098,20,66,36
91784,450000,3,2,1994,7.333333333,1.2,16,2614,20,34,119
92127,810000,4,3,2620,10,2.433333333,4,6526,20,26,52
92252,170000,2,2,1500,6,2.766666667,5,21423,20,31,37
92253,417000,4,4,3000,8,1.2,15,9583,20,26,111
92336,463000,5,3,2578,7.333333333,0.6,NA,5663,20,20,42
92352,344000,2,1.5,899,5.666666667,2.133333333,39,3200,20,73,45
92352,355000,3,3,1800,5,1.2,0,11761,20,48,127
92553,249000,3,2,1149,4.666666667,1,36,7840,20,32,129
92677,710000,4,3,2027,8,1.566666667,7,3000,20,27,80
93010,479000,3,2,1041,6.333333333,2.066666667,69,7403,20,55,102
93309,127500,2,1,948,4,0.7,28,7405,20,54,106
94536,920000,4,2,1587,9.666666667,0.5,58,6896,20,54,57
95003,1066200,3,2,1761,8.666666667,1.166666667,30,6360,20,43,120
95037,808000,4,3,2231,6.666666667,3.5,22,5500,20,27,65
95330,295000,3,2,1147,4.333333333,0.933333333,28,6160,20,24,15
95409,680000,3,2,1780,6.666666667,1.133333333,32,16530,20,60,40
95817,335000,3,2,1103,3,0.666666667,66,5663,20,75,38
96150,279000,2,1,888,6,4.366666667,12,NA,20,54,71
91342,485000,3,2,1567,5,2.333333333,NA,11069,19,55,185
91387,489000,3,3,2134,7.666666667,3.733333333,9,8768,19,26,107
91765,868000,5,3,2530,10,1.7,7,6202,19,29,54
91766,5.00E+05,3,2.75,2083,7.666666667,1.2,18,5848,19,34,143
92109,1149000,3,3,1407,7.666666667,1.733333333,70,1379,19,30,17
93111,999000,3,2,2076,8.666666667,1.4,48,7840,19,19,157
93908,640200,4,2.5,2042,7.333333333,1.7,10,NA,19,19,329
95819,420000,3,2,1808,6.666666667,1.233333333,59,5980,19,74,84
90241,530000,3,2,1757,6.666666667,0.666666667,61,7473,20,63,44
90504,615000,4,2.75,1600,7.666666667,0.7,64,6111,20,68,56
91977,460000,4,3,1949,5.333333333,0.666666667,35,3228,20,38,182
92067,2400000,4,4,4194,10,2.3,0,312760,20,36,246
