"","population","state"
"1",201264,72
"2",392201,1
"3",98693,2
"4",499196,4
"5",240373,5
"6",2838808,6
"7",432299,8
"8",275973,9
"9",50346,11
"10",78368,10
"11",1267943,12
"12",658451,13
"13",127902,15
"14",131352,16
"15",1132361,17
"16",553771,18
"17",382872,19
"18",298937,20
"19",379721,21
"20",144846,23
"21",330758,22
"22",513148,25
"23",467450,24
"24",1067176,26
"25",773580,27
"26",206115,28
"27",550894,29
"28",113036,30
"29",232808,31
"30",119068,33
"31",204344,32
"32",681807,34
"33",165728,35
"34",1616998,36
"35",748829,37
"36",101126,38
"37",1007998,39
"38",477187,40
"39",306912,41
"40",1312428,42
"41",77465,44
"42",352617,45
"43",109430,46
"44",491460,47
"45",1762976,48
"46",258420,49
"47",86237,50
"48",645487,51
"49",151225,54
"50",560293,53
"51",50599,56
"52",800154,55
